Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015",latitude,longitude,Lat From Bos,Lon From Bos,Distance From Bos Sum,prescriptions_dispensed_by_us_retailers_in_that_year_millions,Distance from Water,Boston Lat,Boston Lon,Max,Mion lat,Glou,X20,X21,X22
Millis,2,5.1,0,0,2,5.1,42.165249,-71.36126,0.194751,0.70126,0.896011,202,0.66726,NA,NA,NA,NA,NA,NA,NA,NA
Millville,0,0,0,0,0,0,42.124662,-71.846943,0.235338,1.186943,1.422281,210,1.152943,NA,NA,NA,NA,NA,NA,NA,NA
Milton,5,3.8,4,3,6,4.4,42.240598,-71.078494,0.119402,0.418494,0.537896,219,0.384494,NA,NA,NA,NA,NA,NA,NA,NA
Monson,3,7.1,2,4.6,3,7,42.095323,-72.282063,0.264677,1.622063,1.88674,217,1.588063,NA,NA,NA,NA,NA,NA,NA,NA
Montague,4,9.4,4,9.5,2,4.7,42.548107,-72.48693,0.188107,1.82693,2.015037,207,1.79293,NA,NA,NA,NA,NA,NA,NA,NA
Monterey,0,0,0,0,0,0,42.18669,-73.206498,0.17331,2.546498,2.719808,196,2.512498,NA,NA,NA,NA,NA,NA,NA,NA
Nahant,0,0,4,22.5,1,5.9,42.427296,-70.922442,0.067296,0.262442,0.329738,116,0.228442,NA,NA,NA,NA,NA,NA,NA,NA
Nantucket,1,2.1,3,5.9,3,5.9,41.287647,-70.08665,1.072353,0.57335,1.645703,126,0,NA,NA,NA,NA,NA,NA,NA,NA
Natick,6,3.7,5,3.1,17,10.3,42.446396,-71.459405,0.086396,0.799405,0.885801,138,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Needham,6,4.2,1,0.7,2,1.4,42.279797,-71.25006,0.080203,0.59006,0.670263,142,0.55606,NA,NA,NA,NA,NA,NA,NA,NA
New Bedford,108,23,113,23.9,153,32.2,41.633416,-70.951045,0.726584,0.291045,1.017629,149,0.257045,NA,NA,NA,NA,NA,NA,NA,NA
New Braintree,1,20.8,0,0,1,20,42.320938,-72.128644,0.039062,1.468644,1.507706,155,1.434644,NA,NA,NA,NA,NA,NA,NA,NA
New Salem,0,0,0,0,1,20.2,42.518718,-72.534371,0.158718,1.874371,2.033089,163,1.840371,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2,5.9,3,8.7,4,12,42.777524,-70.867246,0.417524,0.207246,0.62477,174,0.173246,NA,NA,NA,NA,NA,NA,NA,NA
Newburyport,7,8.1,3,3.4,12,13.8,42.80965,-70.873196,0.44965,0.213196,0.662846,184,0.179196,NA,NA,NA,NA,NA,NA,NA,NA
Newton,12,2.9,18,4.3,24,5.6,42.385096,-71.208399,0.025096,0.548399,0.573495,196,0.514399,NA,NA,NA,NA,NA,NA,NA,NA
Norfolk,0,0,2,3.8,3,5.3,42.117511,-71.331793,0.242489,0.671793,0.914282,202,0.637793,NA,NA,NA,NA,NA,NA,NA,NA
North Adams,7,9.6,9,12.9,16,23.3,42.426974,-73.18632,0.066974,2.52632,2.593294,210,2.49232,NA,NA,NA,NA,NA,NA,NA,NA
North Andover,5,3.7,7,5.1,11,7.8,42.672835,-71.087689,0.312835,0.427689,0.740524,219,0.393689,NA,NA,NA,NA,NA,NA,NA,NA
North Brookfield,0,0,2,8.4,3,12.8,42.275382,-72.089338,0.084618,1.429338,1.513956,217,1.395338,NA,NA,NA,NA,NA,NA,NA,NA
North Reading,2,2.9,4,5.7,4,5.4,42.581332,-71.083725,0.221332,0.423725,0.645057,207,0.389725,NA,NA,NA,NA,NA,NA,NA,NA
Northampton,7,4.8,16,11.1,26,18.2,42.415154,-72.76927,0.055154,2.10927,2.164424,196,2.07527,NA,NA,NA,NA,NA,NA,NA,NA
Northborough,1,1.4,4,5.5,2,2.8,42.322118,-71.64282,0.037882,0.98282,1.020702,116,0.94882,NA,NA,NA,NA,NA,NA,NA,NA
Northbridge,10,14.9,7,9.7,13,16.6,42.207191,-71.856807,0.152809,1.196807,1.349616,126,1.162807,NA,NA,NA,NA,NA,NA,NA,NA
Northfield,0,0,0,0,2,13.2,42.522178,-72.624164,0.162178,1.964164,2.126342,138,1.930164,NA,NA,NA,NA,NA,NA,NA,NA
Norton,8,8.8,9,9.4,15,15.8,41.959149,-71.180393,0.400851,0.520393,0.921244,142,0.486393,NA,NA,NA,NA,NA,NA,NA,NA
Norwell,2,4,4,7.7,8,15.2,42.154145,-70.823035,0.205855,0.163035,0.36889,149,0.129035,NA,NA,NA,NA,NA,NA,NA,NA
Norwood,13,9.1,15,10.5,16,11.2,42.182798,-71.196277,0.177202,0.536277,0.713479,155,0.502277,NA,NA,NA,NA,NA,NA,NA,NA
Oak Bluffs,1,5.4,1,5.1,4,17.7,41.417376,-70.560032,0.942624,0.099968,1.042592,163,0,NA,NA,NA,NA,NA,NA,NA,NA
Oakham,0,0,2,21.1,0,0,42.346144,-72.058847,0.013856,1.398847,1.412703,174,1.364847,NA,NA,NA,NA,NA,NA,NA,NA
Orange,2,5.3,4,10.4,10,25.5,42.578325,-72.556589,0.218325,1.896589,2.114914,NA,1.862589,NA,NA,NA,NA,NA,NA,NA,NA
Orleans,3,9.4,2,6.3,2,6.8,41.852933,-70.01539,0.507067,0.64461,1.151677,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Otis,0,0,0,0,0,0,42.213156,-73.090434,0.146844,2.430434,2.577278,NA,2.396434,NA,NA,NA,NA,NA,NA,NA,NA
Oxford,7,10.4,4,5.8,17,24.8,42.109223,-71.855444,0.25077700000000003,1.195444,1.446221,NA,1.161444,NA,NA,NA,NA,NA,NA,NA,NA
Palmer,5,8,10,15.7,8,13.2,42.176131,-72.31457,0.183869,1.65457,1.838439,NA,1.62057,NA,NA,NA,NA,NA,NA,NA,NA
Paxton,2,9,0,0,5,20.8,42.304675,-71.892875,0.055325,1.232875,1.2882,NA,1.198875,NA,NA,NA,NA,NA,NA,NA,NA
Peabody,18,7.4,23,9,41,16,42.536996,-70.973646,0.176996,0.313646,0.490642,NA,0.279646,NA,NA,NA,NA,NA,NA,NA,NA
Pembroke,4,4.7,8,8.9,16,17.9,42.065702,-70.800778,0.294298,0.140778,0.435076,NA,0.106778,NA,NA,NA,NA,NA,NA,NA,NA
Pepperell,4,7.1,3,5.3,13,22.6,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Petersham,1,16.7,1,15.7,1,16.2,42.459632,-72.182962,0.099632,1.522962,1.622594,NA,1.488962,NA,NA,NA,NA,NA,NA,NA,NA
Pittsfield,9,4,9,4.1,59,26.4,42.479475,-73.24807,0.119475,2.58807,2.707545,NA,2.55407,NA,NA,NA,NA,NA,NA,NA,NA
Plainfield,0,0,0,0,0,0,42.448984,-72.958397,0.088984,2.298397,2.387381,NA,2.264397,NA,NA,NA,NA,NA,NA,NA,NA
Plainville,2,5.2,4,9.9,6,14.5,42.013553,-71.334399,0.346447,0.674399,1.020846,NA,0.640399,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth,11,4.2,26,9.4,55,19.5,41.886207,-70.638717,0.473793,0.021283,0.495076,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Plympton,1,7.5,0,0,1,7.1,41.96914,-70.812299,0.39086,0.152299,0.543159,NA,0.118299,NA,NA,NA,NA,NA,NA,NA,NA
Princeton,0,0,0,0,4,23.4,42.451926,-71.880057,0.091926,1.220057,1.311983,NA,1.186057,NA,NA,NA,NA,NA,NA,NA,NA
Provincetown,8,N/A,0,0,1,6.8,41.888775,-70.091057,0.471225,0.568943,1.040168,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Quincy,67,15.1,70,15.4,151,32.7,42.241799,-71.006042,0.118201,0.346042,0.464243,NA,0.312042,NA,NA,NA,NA,NA,NA,NA,NA
Randolph,9,5.8,12,7.4,30,18.7,42.171467,-71.055602,0.188533,0.395602,0.584135,NA,0.361602,NA,NA,NA,NA,NA,NA,NA,NA
Raynham,5,8.3,2,3,11,16.4,41.9367,-71.048941,0.4233,0.388941,0.812241,NA,0.354941,NA,NA,NA,NA,NA,NA,NA,NA
Reading,13,11,7,6,10,8.1,42.537065,-71.107172,0.177065,0.447172,0.624237,NA,0.413172,NA,NA,NA,NA,NA,NA,NA,NA
Rehoboth,2,3.9,1,1.8,2,3.4,41.852989,-71.243061,0.507011,0.583061,1.090072,NA,0.549061,NA,NA,NA,NA,NA,NA,NA,NA
Revere,55,23.4,50,21.4,76,29.4,42.366303,-71.020494,0.006303,0.360494,0.366797,NA,0.326494,NA,NA,NA,NA,NA,NA,NA,NA
Richmond,0,0,0,0,1,13.6,42.233105,-73.238358,0.126895,2.578358,2.705253,NA,2.544358,NA,NA,NA,NA,NA,NA,NA,NA
Rochester,3,12.7,0,0,1,3.8,41.751812,-70.846041,0.608188,0.186041,0.794229,NA,0.152041,NA,NA,NA,NA,NA,NA,NA,NA
Rockland,9,10.2,14,15.8,26,29.7,41.954199,-70.885095,0.405801,0.225095,0.630896,NA,0.191095,NA,NA,NA,NA,NA,NA,NA,NA
Rockport,3,7.7,3,7.9,8,23,42.657866,-70.618057,0.297866,0.041943,0.33980900000000003,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Rowe,0,0,0,0,0,0,42.683065,-72.715667,0.323065,2.055667,2.378732,NA,2.021667,NA,NA,NA,NA,NA,NA,NA,NA
Rowley,0,0,0,0,3,10.2,42.716155,-70.892754,0.356155,0.232754,0.588909,NA,0.198754,NA,NA,NA,NA,NA,NA,NA,NA
Royalston,0,0,0,0,2,31.8,42.672182,-72.196376,0.312182,1.536376,1.848558,NA,1.502376,NA,NA,NA,NA,NA,NA,NA,NA
Russell,0,0,1,11.5,1,11.3,42.177432,-72.864558,0.182568,2.204558,2.387126,NA,2.170558,NA,NA,NA,NA,NA,NA,NA,NA
Rutland,4,12.2,0,0,3,7.5,42.383516,-71.95463,0.023516,1.29463,1.318146,NA,1.26063,NA,NA,NA,NA,NA,NA,NA,NA
Salem,30,14.8,24,11.5,40,19.4,42.512946,-70.904237,0.152946,0.244237,0.397183,NA,0.210237,NA,NA,NA,NA,NA,NA,NA,NA
Salisbury,2,5.1,9,21.8,16,38.6,42.851234,-70.865667,0.491234,0.205667,0.696901,NA,0.171667,NA,NA,NA,NA,NA,NA,NA,NA
Sandisfield,0,0,0,0,0,0,42.148975,-73.14861,0.211025,2.48861,2.699635,NA,2.45461,NA,NA,NA,NA,NA,NA,NA,NA
Sandwich,7,6.9,6,5.8,9,8.7,41.711291,-70.477482,0.648709,0.182518,0.831227,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Saugus,21,16,22,16.4,30,22.5,42.472112,-70.997794,0.112112,0.337794,0.449906,NA,0.303794,NA,NA,NA,NA,NA,NA,NA,NA
Savoy,0,0,0,0,0,0,42.367341,-73.128528,0.007341,2.468528,2.475869,NA,2.434528,NA,NA,NA,NA,NA,NA,NA,NA
Scituate,2,2.2,5,5.5,17,18.8,42.207254,-70.770188,0.152746,0.110188,0.262934,NA,0.076188,NA,NA,NA,NA,NA,NA,NA,NA
Seekonk,3,4.5,2,2.9,3,4.4,41.840103,-71.318995,0.519897,0.658995,1.178892,NA,0.624995,NA,NA,NA,NA,NA,NA,NA,NA
Sharon,0,0,4,4.6,10,11.4,42.105288,-71.184785,0.254712,0.524785,0.779497,NA,0.490785,NA,NA,NA,NA,NA,NA,NA,NA
Sheffield,0,0,0,0,1,6.1,42.314564,-73.267694,0.045436,2.607694,2.65313,NA,2.573694,NA,NA,NA,NA,NA,NA,NA,NA
Sherborn,0,0,1,4.8,2,9.7,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Shirley,5,15.2,4,10.9,6,16.6,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Shrewsbury,11,6.9,7,4.2,11,6.2,42.286992,-71.715313,0.073008,1.055313,1.128321,NA,1.021313,NA,NA,NA,NA,NA,NA,NA,NA
Shutesbury,0,0,0,0,0,0,42.471562,-72.44017,0.111562,1.78017,1.891732,NA,1.74617,NA,NA,NA,NA,NA,NA,NA,NA
Somerset,5,5.5,12,13,11,12.1,41.723851,-71.173989,0.636149,0.513989,1.150138,NA,0.479989,NA,NA,NA,NA,NA,NA,NA,NA
Somerville,36,9.3,28,7.4,56,14.8,42.38092,-71.098896,0.02092,0.438896,0.459816,NA,0.404896,NA,NA,NA,NA,NA,NA,NA,NA
South Hadley,3,3.5,10,11.7,7,8,42.24984,-72.58152,0.11016,1.92152,2.03168,NA,1.88752,NA,NA,NA,NA,NA,NA,NA,NA
Southampton,0,0,1,3.4,2,6.9,42.230008,-72.728463,0.129992,2.068463,2.198455,NA,2.034463,NA,NA,NA,NA,NA,NA,NA,NA
Southborough,0,0,3,6.3,1,2,42.296842,-71.533229,0.063158,0.873229,0.936387,NA,0.839229,NA,NA,NA,NA,NA,NA,NA,NA
Southbridge,11,12.7,11,12.7,16,19.1,42.129250999999996,-72.031155,0.230749,1.371155,1.601904,NA,1.337155,NA,NA,NA,NA,NA,NA,NA,NA
Southwick,3,6.7,5,10.5,5,10.5,42.066644,-72.541205,0.293356,1.881205,2.174561,NA,1.847205,NA,NA,NA,NA,NA,NA,NA,NA
Spencer,5,8.5,11,18.3,14,24,42.254837,-72.065612,0.105163,1.405612,1.510775,NA,1.371612,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,78,10.2,78,10,127,16.6,42.170731,-72.604842,0.189269,1.944842,2.134111,NA,1.910842,NA,NA,NA,NA,NA,NA,NA,NA
Sterling,3,8.2,3,7.7,2,5.1,42.366765,-71.939375,0.006765,1.279375,1.28614,NA,1.245375,NA,NA,NA,NA,NA,NA,NA,NA
Stockbridge,0,0,0,0,2,20.5,42.304604,-73.330001,0.055396,2.670001,2.725397,NA,2.636001,NA,NA,NA,NA,NA,NA,NA,NA
Stoneham,6,5.4,12,11.1,18,16.8,42.474595,-71.098146,0.114595,0.438146,0.552741,NA,0.404146,NA,NA,NA,NA,NA,NA,NA,NA
Stoughton,10,7.4,25,18.6,36,26.7,42.118416,-71.105733,0.241584,0.445733,0.687317,NA,0.411733,NA,NA,NA,NA,NA,NA,NA,NA
Stow,1,3.4,1,3.2,1,3,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Sturbridge,4,10,3,6.7,4,8.6,42.10273,-72.080996,0.25727,1.420996,1.678266,NA,1.386996,NA,NA,NA,NA,NA,NA,NA,NA
Sudbury,1,1.2,3,3.5,1,1.1,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Sunderland,0,0,0,0,1,5.4,42.565346,-72.70094,0.205346,2.04094,2.246286,NA,2.00694,NA,NA,NA,NA,NA,NA,NA,NA
Sutton,0,0,2,4.5,2,4.5,42.126575,-71.755193,0.233425,1.095193,1.328618,NA,1.061193,NA,NA,NA,NA,NA,NA,NA,NA
Swampscott,4,5.6,8,11.3,9,13.1,42.513295,-70.905893,0.153295,0.245893,0.399188,NA,0.211893,NA,NA,NA,NA,NA,NA,NA,NA
Swansea,6,7.5,12,14.8,13,16.4,41.766629,-71.234443,0.593371,0.574443,1.167814,NA,0.540443,NA,NA,NA,NA,NA,NA,NA,NA
Taunton,35,12.5,28,10,63,22.6,41.858851,-71.092827,0.501149,0.432827,0.933976,NA,0.398827,NA,NA,NA,NA,NA,NA,NA,NA
Templeton,2,5.8,6,15.8,6,15,42.555059,-72.072285,0.195059,1.412285,1.607344,NA,1.378285,NA,NA,NA,NA,NA,NA,NA,NA
Tewksbury,5,3.5,12,8.3,19,13.1,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Topsfield,0,0,2,6.5,3,9.9,42.661793,-70.954487,0.301793,0.294487,0.59628,NA,0.260487,NA,NA,NA,NA,NA,NA,NA,NA
Townsend,1,2.2,5,10.9,8,17.9,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Truro,1,9.5,1,9.4,0,0,41.987377,-70.047163,0.372623,0.612837,0.98546,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Tyringham,0,0,0,0,1,N/A,42.220001,-73.197865,0.139999,2.537865,2.677864,NA,2.503865,NA,NA,NA,NA,NA,NA,NA,NA
Upton,1,3.5,2,6.1,2,5.3,42.175591,-71.603197,0.184409,0.943197,1.127606,NA,0.909197,NA,NA,NA,NA,NA,NA,NA,NA
Uxbridge,4,7,6,9.5,11,16.4,42.059736,-71.638438,0.300264,0.978438,1.278702,NA,0.944438,NA,NA,NA,NA,NA,NA,NA,NA
Wakefield,14,11.3,13,10.6,24,19.3,42.499891,-71.068829,0.139891,0.408829,0.54872,NA,0.374829,NA,NA,NA,NA,NA,NA,NA,NA
Wales,1,11.4,1,11,0,0,42.061948,-72.213598,0.298052,1.553598,1.85165,NA,1.519598,NA,NA,NA,NA,NA,NA,NA,NA
Walpole,3,2.6,8,6.9,10,8.3,42.148624,-71.255533,0.211376,0.595533,0.806909,NA,0.561533,NA,NA,NA,NA,NA,NA,NA,NA
Waltham,22,7.4,20,6.7,37,12.2,42.398588,-71.24505,0.038588,0.58505,0.623638,NA,0.55105,NA,NA,NA,NA,NA,NA,NA,NA
Ware,3,6.1,5,10,14,28.4,42.377471,-72.548549,0.017471,1.888549,1.90602,NA,1.854549,NA,NA,NA,NA,NA,NA,NA,NA
Wareham,8,7.8,12,11.2,35,32.1,41.760216,-70.694662,0.599784,0.034662,0.634446,NA,6.62e-4,NA,NA,NA,NA,NA,NA,NA,NA
Warren,1,4.1,1,4,6,23.4,42.204027,-72.199439,0.155973,1.539439,1.695412,NA,1.505439,NA,NA,NA,NA,NA,NA,NA,NA
Warwick,0,0,0,0,0,0,42.667059,-72.339655,0.307059,1.679655,1.986714,NA,1.645655,NA,NA,NA,NA,NA,NA,NA,NA
Watertown,15,9.1,13,8.1,22,13.8,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Wayland,1,1.5,2,3.1,4,6.2,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Webster,11,13.3,9,10.7,21,25.1,42.1351,-71.994169,0.2249,1.334169,1.559069,NA,1.300169,NA,NA,NA,NA,NA,NA,NA,NA
Wellesley,2,1.5,3,2.2,2,1.4,42.294546,-71.299201,0.065454,0.639201,0.704655,NA,0.605201,NA,NA,NA,NA,NA,NA,NA,NA
Wellfleet,1,7.2,2,14.3,3,21.8,41.821307,-70.022806,0.538693,0.637194,1.175887,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Wendell,0,0,0,0,0,0,42.581007,-72.437179,0.221007,1.777179,1.998186,NA,1.743179,NA,NA,NA,NA,NA,NA,NA,NA
Wenham,1,4.5,1,4.3,3,12.3,42.597691,-70.8732,0.237691,0.2132,0.450891,NA,0.1792,NA,NA,NA,NA,NA,NA,NA,NA
West Boylston,2,5.3,2,5.2,5,13,42.362783,-71.781215,0.002783,1.121215,1.123998,NA,1.087215,NA,NA,NA,NA,NA,NA,NA,NA
West Bridgewater,0,0,3,8.8,9,26,42.02165,-71.023588,0.33835,0.363588,0.701938,NA,0.329588,NA,NA,NA,NA,NA,NA,NA,NA
West Brookfield,0,0,3,15.6,4,21.6,42.235638,-72.172523,0.124362,1.512523,1.636885,NA,1.478523,NA,NA,NA,NA,NA,NA,NA,NA
West Newbury,1,4.8,0,0,0,0,42.79414,-70.971068,0.43414,0.311068,0.745208,NA,0.277068,NA,NA,NA,NA,NA,NA,NA,NA
West Springfield,13,9.3,19,13.6,22,15.5,42.125793,-72.645334,0.234207,1.985334,2.219541,NA,1.951334,NA,NA,NA,NA,NA,NA,NA,NA
West Stockbridge,0,0,1,14.1,1,15.3,42.360482,-73.265354,4.82e-4,2.605354,2.605836,NA,2.571354,NA,NA,NA,NA,NA,NA,NA,NA
West Tisbury,1,8,0,0,1,7.3,41.42125,-70.642806,0.93875,0.017194,0.955944,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Westborough,6,6.6,0,0,4,4.4,42.364807,-71.896868,0.004807,1.236868,1.241675,NA,1.202868,NA,NA,NA,NA,NA,NA,NA,NA
Westfield,17,8.5,20,9.9,30,14.6,42.14869,-72.501887,0.21131,1.841887,2.053197,NA,1.807887,NA,NA,NA,NA,NA,NA,NA,NA
Westford,4,3.8,0,0,2,1.8,42.446396,-71.459405,0.086396,0.799405,0.885801,NA,0.765405,NA,NA,NA,NA,NA,NA,NA,NA
Westminster,1,2.9,5,13.6,1,2.7,42.364807,-71.896868,0.004807,1.236868,1.241675,NA,1.202868,NA,NA,NA,NA,NA,NA,NA,NA
Weston,0,0,3,5.2,3,5.3,42.375925,-71.227208,0.015925,0.567208,0.583133,NA,0.533208,NA,NA,NA,NA,NA,NA,NA,NA
Westport,4,5.6,5,6.6,10,12.9,41.61547,-71.079636,0.74453,0.419636,1.164166,NA,0.385636,NA,NA,NA,NA,NA,NA,NA,NA
Westwood,3,4.3,3,4.3,4,5.5,42.220548,-71.199238,0.139452,0.539238,0.67869,NA,0.505238,NA,NA,NA,NA,NA,NA,NA,NA
Weymouth,32,11.9,50,18.6,74,27.5,42.20794,-70.95514,0.15206,0.29514,0.4472,NA,0.26114,NA,NA,NA,NA,NA,NA,NA,NA
Whately,0,0,0,0,0,0,42.442673,-72.652511,0.082673,1.992511,2.075184,NA,1.958511,NA,NA,NA,NA,NA,NA,NA,NA
Whitman,11,15.7,9,12.5,13,17.9,42.0785,-70.940837,0.2815,0.280837,0.562337,NA,0.246837,NA,NA,NA,NA,NA,NA,NA,NA
Wilbraham,6,8.8,3,4.3,4,5.6,42.125974,-72.489988,0.234026,1.829988,2.064014,NA,1.795988,NA,NA,NA,NA,NA,NA,NA,NA
Williamsburg,1,8.2,1,8.2,1,8.1,42.413069,-72.821653,0.053069,2.161653,2.214722,NA,2.127653,NA,NA,NA,NA,NA,NA,NA,NA
Williamstown,0,0,0,0,2,5.2,42.642075,-73.257699,0.282075,2.597699,2.879774,NA,2.563699,NA,NA,NA,NA,NA,NA,NA,NA
Wilmington,6,5.6,11,10.2,17,15.2,42.561782,-71.173888,0.201782,0.513888,0.71567,NA,0.479888,NA,NA,NA,NA,NA,NA,NA,NA
Winchendon,6,12.4,8,15.8,8,15.5,42.661612,-72.047876,0.301612,1.387876,1.689488,NA,1.353876,NA,NA,NA,NA,NA,NA,NA,NA
Winchester,0,0,10,9.4,5,4.7,42.454545,-71.148779,0.094545,0.488779,0.583324,NA,0.454779,NA,NA,NA,NA,NA,NA,NA,NA
Windsor,0,0,0,0,0,0,42.443726,-73.116127,0.083726,2.456127,2.539853,NA,2.422127,NA,NA,NA,NA,NA,NA,NA,NA
Winthrop,12,13.3,22,25.7,23,26.3,42.378447,-70.981679,0.018447,0.321679,0.340126,NA,0.287679,NA,NA,NA,NA,NA,NA,NA,NA
Woburn,22,11.8,18,9.7,30,15.7,42.488595,-71.157271,0.128595,0.497271,0.625866,NA,0.463271,NA,NA,NA,NA,NA,NA,NA,NA
Worcester,95,10.9,129,14.3,225,24.9,42.265275,-71.879415,0.094725,1.219415,1.31414,NA,1.185415,NA,NA,NA,NA,NA,NA,NA,NA
Worthington,0,0,0,0,1,17.3,42.40494,-72.896133,0.04494,2.236133,2.281073,NA,2.202133,NA,NA,NA,NA,NA,NA,NA,NA
Wrentham,3,5.6,6,10.9,4,7.3,42.054311,-71.371169,0.305689,0.711169,1.016858,NA,0.677169,NA,NA,NA,NA,NA,NA,NA,NA
